Iteration,Train_Accuracy,Valid_Accuracy,Loss
0,0.604666666667,0.466666666667,1.03625446944
100,0.749333333333,0.704666666667,0.734625902256
200,0.767,0.740666666667,0.674730225352
300,0.856583333333,0.81,0.606638236849
400,0.839,0.844666666667,0.51706119539
500,0.862416666667,0.858666666667,0.464384992615
600,0.87825,0.864666666667,0.420405946928
700,0.881916666667,0.882,0.393148210334
800,0.885583333333,0.886,0.391234774745
900,0.8645,0.889333333333,0.410612187158
1000,0.910166666667,0.906,0.377741030654
1100,0.8565,0.908,0.375226000951
1200,0.885833333333,0.913333333333,0.347818808335
1300,0.915416666667,0.917333333333,0.314416511269
1400,0.915166666667,0.912,0.289169678082
1500,0.833416666667,0.925333333333,0.380537585152
1600,0.925166666667,0.927333333333,0.295050563273
1700,0.916333333333,0.926,0.278107162613
1800,0.901333333333,0.925333333333,0.295021072151
1900,0.92475,0.93,0.27801781243
2000,0.909583333333,0.932,0.268867794005
2100,0.923583333333,0.935333333333,0.253790677789
2200,0.924416666667,0.938,0.270645619439
2300,0.932166666667,0.936666666667,0.241899958277
2400,0.937166666667,0.939333333333,0.234773816888
2500,0.931916666667,0.94,0.274775007043
2600,0.92825,0.939333333333,0.262386338793
2700,0.92125,0.938666666667,0.245750197315
2800,0.81975,0.94,0.401302366744
2900,0.930333333333,0.94,0.228463101004
3000,0.933333333333,0.936666666667,0.261604206867
